fare_amount,fare_class,passenger_count,Year,Month,Day,Hours,Minutes,mornight,Total distance
13.7,1,4,2010,4,18,13,11,1,3.1248829686219297
10.9,1,1,2010,4,20,11,27,0,4.021699174763792
8.1,0,2,2010,4,17,14,20,1,1.8679044015848871
14.5,1,1,2010,4,18,4,38,0,5.332206782226441
5.7,0,1,2010,4,23,13,35,1,1.2277391765139425
4.9,0,1,2010,4,23,4,29,0,0.8207588308869902
14.67,1,1,2010,4,21,19,19,1,3.6353913558667807
8.9,0,1,2010,4,13,11,29,0,1.3372001890368288
10.5,1,1,2010,4,14,8,14,0,4.01068911875827
8.9,0,1,2010,4,21,19,45,1,2.7889500469534045
14.1,1,1,2010,4,17,18,38,1,4.963326640946575
6.9,0,2,2010,4,12,5,26,0,0.8568533295529402
11.3,1,1,2010,4,23,15,58,1,3.5144478563260866
9.7,0,1,2010,4,11,10,40,0,2.639201349147686
10.1,1,1,2010,4,23,15,36,1,3.9998443590529518
5.7,0,1,2010,4,18,10,2,0,1.3256839621665983
16.9,1,1,2010,4,11,19,55,1,6.355305471133191
5.3,0,1,2010,4,23,6,55,0,1.0349732339258912
4.5,0,1,2010,4,17,23,36,1,0.6623673790006183
7.3,0,2,2010,4,24,13,50,1,1.6384454435406843
5.3,0,3,2010,4,22,15,7,1,1.1755653053544515
6.1,0,3,2010,4,13,12,6,1,1.6765309873966223
8.5,0,2,2010,4,24,20,29,1,2.072504094022278
20.9,1,2,2010,4,22,6,46,0,8.632314100109284
12.1,1,1,2010,4,11,7,13,0,4.790353594377904
14.1,1,1,2010,4,13,21,51,1,7.542812696914309
6.9,0,1,2010,4,20,11,44,0,2.7038070353400934
4.5,0,1,2010,4,21,7,8,0,1.2531309058336344
6.1,0,1,2010,4,11,2,25,0,1.534565183624892
3.7,0,1,2010,4,21,6,7,0,0.7184520613313874
4.9,0,1,2010,4,23,3,27,0,1.3100298342327334
25.3,1,1,2010,4,23,1,20,0,12.79680701863089
3.7,0,2,2010,4,16,17,59,1,0.5577799537376502
17.3,1,1,2010,4,21,14,9,1,7.042924737975279
5.7,0,1,2010,4,21,15,0,1,1.3437150966569265
9.7,0,1,2010,4,22,10,53,0,2.6992120910516753
5.3,0,2,2010,4,24,17,45,1,1.5109950427176635
4.5,0,1,2010,4,19,13,57,1,0.7949892987203682
4.1,0,1,2010,4,24,11,31,0,0.5526498712593042
3.7,0,1,2010,4,16,18,19,1,0.2928679634676555
20.9,1,1,2010,4,23,19,54,1,10.263018166806644
8.5,0,1,2010,4,16,15,3,1,2.0209280628526964
4.1,0,1,2010,4,23,22,7,1,0.5860124041035606
3.3,0,1,2010,4,13,19,28,1,0.5269132271095512
7.3,0,1,2010,4,22,17,15,1,2.749881208673669
7.3,0,1,2010,4,16,8,53,0,2.613488173547451
6.1,0,3,2010,4,11,15,50,1,0.8030173968557242
7.3,0,1,2010,4,17,10,7,0,1.1508937774737387
7.3,0,2,2010,4,20,5,55,0,0.7584721246994162
4.5,0,1,2010,4,24,21,37,1,0.7878566835388097
8.1,0,1,2010,4,17,10,56,0,1.297123105056078
14.5,1,1,2010,4,14,20,18,1,5.5183967702321075
10.5,1,1,2010,4,13,23,55,1,4.356471073235496
8.1,0,3,2010,4,14,19,47,1,2.494440846524338
6.5,0,1,2010,4,15,23,0,1,1.5997566619452033
12.9,1,1,2010,4,12,17,40,1,5.195299661704449
3.7,0,2,2010,4,18,1,16,0,0.9887718249886112
3.7,0,1,2010,4,24,11,46,0,0.7700468759115251
6.9,0,1,2010,4,13,7,58,0,0.98855851834023
10.5,1,1,2010,4,21,7,13,0,3.1001388109545953
6.1,0,1,2010,4,21,6,13,0,2.0121740208485703
3.7,0,1,2010,4,15,14,15,1,0.6083145783748478
13.3,1,1,2010,4,15,12,22,1,5.08571900462582
7.7,0,1,2010,4,15,5,58,0,2.8305227657564167
5.7,0,1,2010,4,18,19,57,1,1.5023730375560327
6.5,0,2,2010,4,23,16,38,1,1.1463693214285415
12.9,1,2,2010,4,21,21,35,1,6.587523974322257
11.3,1,1,2010,4,20,1,40,0,4.749750065867626
13.3,1,2,2010,4,17,6,17,0,5.292974430099067
14.1,1,3,2010,4,16,0,45,0,6.738422584819619
12.9,1,1,2010,4,24,21,54,1,3.612889099299909
5.7,0,1,2010,4,20,12,40,1,2.1526998237406474
15.7,1,1,2010,4,16,12,30,1,4.7044060004031305
24.9,1,1,2010,4,14,11,56,0,11.48612399456695
8.1,0,1,2010,4,14,17,17,1,2.670809747165322
12.1,1,1,2010,4,18,13,39,1,3.8061889394782087
3.7,0,2,2010,4,14,15,39,1,0.8023833167465193
10.1,1,1,2010,4,17,9,26,0,4.839628579630565
14.9,1,4,2010,4,17,18,53,1,6.280085954481235
4.1,0,1,2010,4,22,6,11,0,1.1701230490870893
14.1,1,1,2010,4,15,16,45,1,6.8346329996600925
13.7,1,2,2010,4,23,21,14,1,6.441392209039095
16.1,1,1,2010,4,13,21,15,1,5.120690195833896
4.1,0,1,2010,4,21,3,23,0,0.7872285552774138
4.5,0,2,2010,4,24,16,23,1,1.122215821977713
10.9,1,1,2010,4,18,11,53,0,4.2555713486026026
4.9,0,1,2010,4,11,9,3,0,1.8919357264439143
6.5,0,1,2010,4,14,18,49,1,2.3319936324231674
5.3,0,1,2010,4,20,7,18,0,1.3654062611419848
6.1,0,1,2010,4,14,11,34,0,1.6346023893911927
7.7,0,2,2010,4,16,3,18,0,2.404636865686727
6.1,0,1,2010,4,11,4,45,0,1.786510367379736
16.5,1,2,2010,4,15,22,59,1,8.979018023941713
8.1,0,1,2010,4,22,10,46,0,2.0370124284297075
8.1,0,2,2010,4,14,13,12,1,2.490963486424932
29.47,1,1,2010,4,14,2,50,0,9.35044163300178
17.3,1,1,2010,4,15,15,23,1,4.573422550665831
4.5,0,1,2010,4,22,2,26,0,0.718961673605278
4.5,0,1,2010,4,14,8,20,0,0.9416465710376434
5.3,0,2,2010,4,19,18,26,1,0.6996538947494423
49.57,1,1,2010,4,13,9,57,0,20.09262863181877
10.9,1,1,2010,4,24,23,13,1,3.8806032071577916
10.5,1,1,2010,4,11,20,52,1,4.806781347100326
6.9,0,2,2010,4,24,20,16,1,1.9891775395706475
12.1,1,1,2010,4,16,20,11,1,4.2498526665515595
5.3,0,3,2010,4,13,14,6,1,1.527723600708455
7.3,0,1,2010,4,23,20,7,1,2.3191488212538376
7.3,0,1,2010,4,23,21,2,1,1.3861987552112796
45.3,1,2,2010,4,18,10,4,0,17.21164604498429
6.9,0,1,2010,4,15,8,50,0,1.0590950125885723
9.3,0,2,2010,4,22,18,38,1,4.087241553536823
4.1,0,1,2010,4,24,21,55,1,0.6335420259324344
11.7,1,1,2010,4,18,2,21,0,6.417238374399172
4.5,0,3,2010,4,18,0,17,0,1.1491756792252383
5.3,0,3,2010,4,24,0,37,0,1.3231421453818846
9.3,0,1,2010,4,23,18,1,1,4.211492760341193
15.7,1,1,2010,4,20,20,10,1,4.006246741696942
10.1,1,3,2010,4,18,10,4,0,2.1938348790146325
8.1,0,1,2010,4,22,10,5,0,0.8646512864622085
3.7,0,1,2010,4,13,18,39,1,0.6797027808447288
7.3,0,1,2010,4,11,5,31,0,2.1054968417935203
6.1,0,1,2010,4,23,12,51,1,1.7702893048830843
8.9,0,1,2010,4,15,14,6,1,2.6213166935190246
13.7,1,1,2010,4,17,22,58,1,4.430954611063442
4.1,0,3,2010,4,18,14,1,1,0.5352630804265215
11.3,1,1,2010,4,21,10,33,0,2.7132335707269957
6.5,0,1,2010,4,21,16,25,1,1.5399764021728417
6.5,0,1,2010,4,16,13,38,1,1.71796186638837
7.3,0,1,2010,4,18,9,50,0,1.9366705559975081
3.3,0,1,2010,4,19,5,52,0,0.5209890527246248
10.5,1,1,2010,4,24,0,43,0,4.80087130535117
11.3,1,2,2010,4,24,8,1,0,4.024358506611727
7.3,0,1,2010,4,23,18,59,1,2.5415924836703474
2.5,0,2,2010,4,23,22,11,1,0.013857722744548013
6.5,0,1,2010,4,15,12,20,1,1.7058825157560802
4.5,0,2,2010,4,22,15,48,1,0.8412044692651041
10.1,1,1,2010,4,12,12,32,1,2.829161480407566
3.7,0,1,2010,4,24,10,42,0,0.5741575862826521
5.3,0,2,2010,4,13,0,26,0,1.4046637511909552
7.3,0,2,2010,4,18,8,42,0,2.6874176831957937
6.1,0,1,2010,4,12,20,8,1,2.781984983835982
7.3,0,2,2010,4,17,2,19,0,2.15962894878536
10.1,1,1,2010,4,16,4,52,0,2.2929300102425305
6.1,0,1,2010,4,18,6,54,0,1.974825232653512
5.7,0,1,2010,4,13,17,15,1,1.2460681789412518
5.7,0,1,2010,4,15,9,18,0,1.2022630279949948
4.1,0,1,2010,4,12,16,58,1,0.8970752825001088
4.9,0,2,2010,4,22,3,46,0,1.60590243985607
10.1,1,1,2010,4,13,17,28,1,2.7651213839473527
18.1,1,1,2010,4,19,4,2,0,5.583990465921083
20.5,1,1,2010,4,11,0,25,0,8.237855454511976
7.3,0,1,2010,4,22,20,2,1,2.0556243098307276
6.9,0,3,2010,4,19,10,6,0,1.8004728629860334
12.9,1,1,2010,4,22,18,18,1,5.2186065911296105
10.9,1,1,2010,4,20,4,28,0,3.495921568698018
9.7,0,3,2010,4,23,22,27,1,3.0834178657682623
10.9,1,1,2010,4,15,15,58,1,3.43892021149964
10.5,1,1,2010,4,17,19,48,1,3.295231149542284
14.9,1,3,2010,4,17,13,33,1,6.65828394595757
8.1,0,2,2010,4,14,14,30,1,2.890955770961852
5.7,0,1,2010,4,14,2,10,0,1.268454300729659
5.7,0,1,2010,4,18,0,51,0,1.2278158080759711
6.5,0,1,2010,4,13,10,50,0,1.3426989110156644
8.5,0,1,2010,4,16,13,49,1,2.2492153122648157
10.9,1,1,2010,4,15,15,52,1,3.6802227997204624
5.3,0,2,2010,4,14,17,0,1,1.5683031523848145
10.1,1,1,2010,4,18,15,39,1,4.081613714467643
22.5,1,1,2010,4,22,8,26,0,9.76097488366562
3.7,0,2,2010,4,23,17,52,1,0.6450633218080417
17.7,1,1,2010,4,18,21,3,1,6.7938300577526665
8.5,0,1,2010,4,11,8,56,0,2.501792604060089
6.9,0,2,2010,4,22,21,55,1,2.500387897076909
4.9,0,1,2010,4,15,5,46,0,0.9005658720014954
6.1,0,3,2010,4,19,5,13,0,1.6889435879823425
6.9,0,1,2010,4,16,6,2,0,2.592970032437044
4.9,0,1,2010,4,12,5,59,0,1.316524452631747
4.5,0,1,2010,4,13,17,40,1,1.2961087726311462
10.1,1,1,2010,4,23,5,38,0,1.9444407342288939
4.5,0,1,2010,4,15,19,21,1,0.9595957042918087
3.7,0,1,2010,4,19,5,17,0,0.7219778230119616
6.1,0,2,2010,4,15,6,39,0,1.1407871008388828
7.3,0,2,2010,4,17,14,46,1,2.5399222747095234
28.1,1,2,2010,4,20,13,15,1,13.211680220032122
5.3,0,1,2010,4,22,20,30,1,1.1704642446299494
6.9,0,2,2010,4,14,14,41,1,2.2706860236654
13.3,1,1,2010,4,13,0,3,0,9.50728103145231
4.9,0,1,2010,4,16,11,13,0,0.4576080837541456
10.1,1,2,2010,4,18,7,11,0,3.2833666392835226
15.7,1,1,2010,4,17,0,12,0,8.243938111506958
37.6,1,1,2010,4,23,7,25,0,12.887018662578852
9.3,0,1,2010,4,11,15,48,1,3.453278259044326
12.1,1,4,2010,4,20,7,50,0,4.320953701392327
45.0,1,1,2010,4,20,0,18,0,20.939058623979992
12.5,1,1,2010,4,21,6,15,0,5.499984615837532
6.5,0,1,2010,4,17,7,39,0,2.3003833701023577
9.7,0,3,2010,4,24,13,18,1,3.423956417361252
13.3,1,2,2010,4,15,6,33,0,5.295321555298855
32.67,1,2,2010,4,21,7,31,0,9.631484252314674
6.9,0,1,2010,4,13,7,12,0,5.951331640540566
6.9,0,2,2010,4,14,10,34,0,1.2276632909159975
4.9,0,1,2010,4,17,5,32,0,1.3821210547637244
4.9,0,1,2010,4,15,4,58,0,1.1855569606275218
4.5,0,1,2010,4,11,9,34,0,0.8686443384444518
7.7,0,5,2010,4,20,19,33,1,2.1237188972143333
7.7,0,1,2010,4,15,14,14,1,3.541299276204628
